name,symbol,rate,volume,cap,delta
Stellar,,0.13870103199316544,110224082,3970968778,"{'hour': 0.9898, 'day': 0.9692, 'week': 1.0148, 'month': 1.2376, 'quarter': 1.1187, 'year': 1.7566}"
The Graph,,0.41972937376907754,541877120,3709618566,"{'hour': 0.9653, 'day': 0.8853, 'week': 1.3064, 'month': 2.4996, 'quarter': 2.6342, 'year': 3.7151}"
Injective Protocol,,39.6252245766886,217455752,3502561687,"{'hour': 0.9916, 'day': 0.9611, 'week': 0.9525, 'month': 1.1292, 'quarter': 1.5868, 'year': 12.8512}"
Pepe,,8.32571827185254e-06,1212675327,3444705502,"{'hour': 0.9817, 'day': 0.9521, 'week': 1.4418, 'month': 8.1117, 'quarter': 5.8349, 'year': None}"
VeChain,,0.04724803684998832,98755262,3435618170,"{'hour': 0.9869, 'day': 0.9521, 'week': 0.957, 'month': 1.5848, 'quarter': 1.7206, 'year': 2.3347}"
Kaspa,,0.14602014789628484,149794606,3353922219,"{'hour': 0.9921, 'day': 0.9799, 'week': 0.8651, 'month': 1.0508, 'quarter': 1.2111, 'year': 12.2296}"
Mantle,,1.0286310974671657,35056534,3324188159,"{'hour': 0.9887, 'day': 0.9723, 'week': 1.1557, 'month': 1.5867, 'quarter': 1.7586, 'year': None}"
Theta Network,,3.203531813252289,193005191,3203531813,"{'hour': 0.9962, 'day': 1.0287, 'week': 1.3474, 'month': 3.0786, 'quarter': 3.0526, 'year': 3.5683}"
Lido DAO,,3.241945997943848,79849867,2890808910,"{'hour': 0.99, 'day': 0.9553, 'week': 0.9559, 'month': 1.0839, 'quarter': 1.4207, 'year': 1.5497}"
Fetch.ai,,2.756241778145337,580859724,2702481690,"{'hour': 1.0103, 'day': 0.9043, 'week': 1.5459, 'month': 4.506, 'quarter': 5.5444, 'year': 8.7428}"
Celestia,,15.885419557444145,116737455,2696642994,"{'hour': 0.9921, 'day': 0.9378, 'week': 0.9626, 'month': 0.7945, 'quarter': 1.4016, 'year': None}"
Monero,,144.81515690786864,354776234,2665847773,"{'hour': 0.9874, 'day': 1.0053, 'week': 0.9627, 'month': 1.1947, 'quarter': 0.843, 'year': 1.0253}"
Maker,,2699.2265468440164,263442257,2638847548,"{'hour': 0.9636, 'day': 1.1056, 'week': 1.2787, 'month': 1.365, 'quarter': 1.9426, 'year': 3.7371}"
Floki Inu,,0.0002626757721319461,1806814342,2552677842,"{'hour': 0.984, 'day': 1.1017, 'week': 1.8566, 'month': 8.3849, 'quarter': 7.0261, 'year': 8.1877}"
Gala,,0.07834879492595545,2657254545,2296248887,"{'hour': 0.9611, 'day': 1.3275, 'week': 1.7148, 'month': 3.252, 'quarter': 2.5284, 'year': 2.5231}"
